old_path	new_path	source	confidence
sources/sources/com/tsf/shell/f/e/i/d.java	sources/sources/com/tsf/shell/f/e/i/GridLayoutParams.java	direct_diff	94
sources/sources/com/tsf/shell/f/e/i/c.java	sources/sources/com/tsf/shell/f/e/i/GridLayoutRenderer.java	direct_diff	86
sources/sources/com/tsf/shell/f/f/i.java	sources/sources/com/tsf/shell/f/f/ItemPageTransition.java	direct_diff	52
sources/sources/com/tsf/shell/f/f/d.java	sources/sources/com/tsf/shell/f/f/ItemTransitionManager.java	direct_diff	60
sources/sources/com/tsf/shell/f/f/j.java	sources/sources/com/tsf/shell/f/f/PageAnimationState.java	direct_diff	68
sources/sources/com/tsf/shell/f/f/h.java	sources/sources/com/tsf/shell/f/f/PageConfig.java	direct_diff	65
sources/sources/com/tsf/shell/f/f/k.java	sources/sources/com/tsf/shell/f/f/PageContentType.java	direct_diff	61
sources/sources/com/tsf/shell/f/f/o.java	sources/sources/com/tsf/shell/f/f/PageEventDispatcher.java	direct_diff	94
sources/sources/com/tsf/shell/f/f/b.java	sources/sources/com/tsf/shell/f/f/PageRenderBuffer.java	direct_diff	85
sources/sources/com/tsf/shell/f/f/a.java	sources/sources/com/tsf/shell/f/f/PageShaderNode.java	direct_diff	91
sources/sources/com/tsf/shell/f/f/n.java	sources/sources/com/tsf/shell/f/f/PageTouchHandler.java	direct_diff	85
sources/sources/com/tsf/shell/f/f/l.java	sources/sources/com/tsf/shell/f/f/PageTransitionEffect.java	direct_diff	69
sources/sources/com/tsf/shell/f/f/e.java	sources/sources/com/tsf/shell/f/f/TransitionConfig.java	direct_diff	58
sources/sources/com/tsf/shell/f/f/c.java	sources/sources/com/tsf/shell/f/f/TransitionManager.java	direct_diff	80
sources/sources/com/tsf/shell/f/f/f.java	sources/sources/com/tsf/shell/f/f/TransitionRenderer.java	direct_diff	84
sources/sources/com/tsf/shell/f/f/g.java	sources/sources/com/tsf/shell/f/f/WorkspacePage.java	direct_diff	74
sources/sources/com/tsf/shell/f/f/a/d.java	sources/sources/com/tsf/shell/f/f/a/AppClassifier.java	direct_diff	46
sources/sources/com/tsf/shell/f/f/a/e.java	sources/sources/com/tsf/shell/f/f/a/DragOverlayElement.java	direct_diff	60
sources/sources/com/tsf/shell/f/f/a/h.java	sources/sources/com/tsf/shell/f/f/a/FolderPage.java	direct_diff	66
sources/sources/com/tsf/shell/f/f/a/g.java	sources/sources/com/tsf/shell/f/f/a/FolderRenameDialog.java	direct_diff	65
sources/sources/com/tsf/shell/f/f/a/a.java	sources/sources/com/tsf/shell/f/f/a/PageContainerBase.java	direct_diff	85
sources/sources/com/tsf/shell/f/f/a/c.java	sources/sources/com/tsf/shell/f/f/a/PageContainerView.java	direct_diff	93
sources/sources/com/tsf/shell/f/f/a/f.java	sources/sources/com/tsf/shell/f/f/a/PageGridRenderer.java	direct_diff	80
sources/sources/com/tsf/shell/f/f/a/b.java	sources/sources/com/tsf/shell/f/f/a/PageItemList.java	direct_diff	71
sources/sources/com/tsf/shell/f/f/a/a/d.java	sources/sources/com/tsf/shell/f/f/a/_a/DrawerDragEffectController.java	direct_diff	51
sources/sources/com/tsf/shell/f/f/a/a/f.java	sources/sources/com/tsf/shell/f/f/a/_a/DrawerItemAnimationManager.java	direct_diff	77
sources/sources/com/tsf/shell/f/f/a/a/c.java	sources/sources/com/tsf/shell/f/f/a/_a/DrawerItemContainer.java	direct_diff	59
sources/sources/com/tsf/shell/f/f/a/a/a.java	sources/sources/com/tsf/shell/f/f/a/_a/DrawerItemDragController.java	direct_diff	84
sources/sources/com/tsf/shell/f/f/a/a/b.java	sources/sources/com/tsf/shell/f/f/a/_a/DrawerSectionManager.java	direct_diff	85
sources/sources/com/tsf/shell/f/f/a/a/e.java	sources/sources/com/tsf/shell/f/f/a/_a/DrawerVisualFrame.java	direct_diff	61
sources/sources/com/tsf/shell/f/f/a/a/a/a.java	sources/sources/com/tsf/shell/f/f/a/_a/a/DrawerAppLayoutStrategy.java	direct_diff	30
